part,layers,nodes,date,time,validation,iteration,test
2b3,1,250,20161027,030910,19.439891,355968,21.641045
2b3,1,500,20161028,102032,19.904372,355968,21.764028
2b3,2,250,20161027,040636,18.005464,939360,20.622598
2b3,2,500,20161028,113128,16.530055,276864,18.481937
2b3,3,250,20161027,053613,15.423497,3263040,18.201384
2b3,3,500,20161028,122359,16.612022,464736,18.827825
2b3,4,250,20161027,094614,19.644809,108768,21.702537
2b3,4,500,20161028,131520,15.314208,613056,18.332052
2b3,5,250,20161027,095913,14.959016,949248,18.243659
2b3,6,250,20161027,122826,14.795082,2000672,17.878555
2b3,7,250,20161027,174408,14.535519,2682944,17.605688
2b3,8,250,20161028,021905,14.590164,2412672,17.893928
2b4,10,42,20161027,173730,21.311475,151616,23.689470
2b4,1,420,20161027,030343,17.950820,741600,20.415065
2b4,1,840,20161027,181047,22.786885,121952,24.811683
2b4,2,210,20161027,042339,17.909836,557024,20.457341
2b4,2,420,20161027,184113,16.653005,257088,18.966180
2b4,3,140,20161027,052907,19.262295,158208,21.602613
2b4,3,280,20161027,193258,15.286885,1285440,18.197540
2b4,4,105,20161027,055518,20.232240,184576,21.837048
2b4,4,210,20161027,235943,17.459016,210944,20.096080
2b4,5,168,20161028,004457,19.849727,145024,21.525749
2b4,5,84,20161027,062733,18.647541,319712,21.487317
2b4,6,140,20161028,010530,16.502732,1974304,18.966180
2b4,6,70,20161027,071548,18.989071,309824,21.091468
2b4,7,120,20161028,045703,22.636612,62624,24.200615
2b4,7,60,20161027,080628,18.797814,649312,21.199078
2b4,8,105,20161028,051223,18.469945,191168,21.529593
2b4,8,52,20161027,103547,18.606557,1058016,21.829362
2b4,9,46,20161027,143620,18.934426,721824,22.255957
2b5,1,1000,20161028,081604,19.255172,77059,21.153846
2b5,1,100,20161028,065846,19.393103,103885,21.561538
2b5,1,10,20161028,064801,55.903448,29719,57.684615
2b5,1,200,20161028,070613,18.593103,106515,20.342308
2b5,1,25,20161028,065019,29.503448,63909,33.330769
2b5,1,400,20161028,071505,16.731034,157011,18.319231
2b5,1,50,20161028,065424,25.144828,62068,27.996154
2b5,1,600,20161028,073436,18.000000,107041,19.876923
2b5,1,800,20161028,075223,17.365517,114931,19.184615
2b5,3,1000,20161028,102919,14.496552,85475,16.719231
2b5,3,100,20161028,085220,17.089655,74429,19.811538
2b5,3,10,20161028,083449,70.372414,14991,70.600000
2b5,3,200,20161028,085940,15.986207,77848,18.342308
2b5,3,25,20161028,083627,25.268966,70747,28.415385
2b5,3,400,20161028,091215,15.600000,75481,17.557692
2b5,3,50,20161028,084300,18.510345,113090,20.923077
2b5,3,600,20161028,092645,14.482759,86001,16.792308
2b5,3,800,20161028,094914,14.234483,72588,17.134615
